ENTIDAD,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
GUANAJUATO,533.8549420194696,538.5139266487937,579.4414287296238,530.0985377879523,483.90344374681314,823.818561977384,1089.356187508123,953.5940948320377,800.9290922793585,530.6,598.8,566.9999999999999,489.80000000000007,724.0374917265596,439.36035289178176,1080.5213761199461,717.1999999999999,810.5,921.4,877.8875000999777,510.0,779.9000000000001,798.7012511328043,732.8000000000001,623.1999999999999,797.6999999999999,378.7,573.25,762.16,678.9800000000001,840.8399999999999,691.29,611.5099999999999,850.2900000000001,553.7,475.5,780.3,480.2
GUERRERO,1046.4805960692015,786.2772819947581,952.0165201335882,1258.4128267193264,1244.4518099936015,1115.1458056726615,955.0557613245014,1096.5014998193603,1080.213617358467,698.1999999999999,863.6,1000.6999999999999,823.7,923.4052334342553,951.2998327935456,816.9499045044798,1028.4,1001.6000000000001,1040.5,1144.2051445702486,1108.1,1294.6999999999998,1193.2262139754553,1272.3999999999999,991.0999999999999,1521.0,1194.3999999999999,961.53,1270.4500000000003,1223.91,1003.27,985.5299999999999,1161.1100000000001,1159.04,1102.1,928.0,1278.2,1170.8
HIDALGO,711.2738770995267,687.8807089234576,607.9621622382954,736.8413509134529,803.5967175296637,911.2763907284169,927.1752509145889,900.7168992546206,788.4120630020611,718.1999999999999,755.3,540.0,585.6,759.1042244081445,740.4748031413033,591.1142909311343,651.2,615.9000000000001,623.9999999999999,629.4400407022182,694.9,695.1,891.1789933979688,803.5,790.3999999999999,938.6999999999999,705.1,652.35,796.8,754.7700000000001,681.3699999999999,694.2600000000001,653.2399999999999,574.57,438.8,501.5,632.4,447.8
JALISCO,768.9874794687171,775.9986330866255,889.6690388456251,766.4390807114623,704.5949465257177,1218.7635500928936,883.3411964852113,1236.6819838528702,900.5023655091344,550.5000000000001,512.9999999999999,598.0,580.0,720.4133218993532,692.2171977292712,632.273078171125,670.6999999999999,792.2,735.9,1049.531308354224,664.0,891.4999999999999,836.4824935583605,868.8,703.6999999999999,940.3,602.3000000000001,669.1400000000001,1062.75,981.4999999999999,1145.8400000000001,926.2400000000002,946.12,1075.93,926.4,874.2,1106.4,859.2
ESTADO DE MÉXICO,777.2026239367457,699.3400902495557,741.2458676903398,856.7116660566224,750.9596798845163,1115.3491464493911,962.6248897070502,991.8963587935707,618.4660616161743,554.5,611.4,559.6999999999999,540.4,573.0712126510966,557.2494717596904,667.7993084556877,742.9,703.5,707.9999999999999,751.1118908047184,549.1,719.1,876.3049337693315,679.5999999999999,725.7000000000002,809.6999999999998,657.6,628.4599999999999,843.0300000000001,884.7,858.48,914.9699999999999,865.3599999999999,1098.6999999999998,837.6,758.9,933.8,849.3
MICHOACÁN,765.3461728445976,596.5701187871634,676.3915208498117,795.4871697954576,661.8387114183638,833.7827314252393,799.7258784491697,1010.3183128561449,909.4062985664499,387.29999999999995,570.8,632.7,458.7,736.8813703218171,739.8770279115814,797.3772433555245,893.4000000000001,941.1999999999999,872.3,916.7232845948265,689.2,890.0,823.9922800652827,824.7000000000002,765.6,1086.3,689.8000000000001,754.77,1076.1999999999998,885.09,996.6400000000001,721.98,792.7499999999999,1114.0999999999997,829.7,703.0,974.1,760.8
MORELOS,775.2184950661226,482.4541615042805,688.2892170811049,652.0048639775296,657.4624274459326,895.9038393927393,1475.3155996064204,1326.6251744603096,928.4821381176321,697.9,1116.3999999999999,889.9999999999999,706.4999999999999,1066.461055924297,1135.5272219667586,941.1311782674792,1111.6,785.2,1099.6,1207.5674735266732,714.1999999999999,887.2,773.5823608768745,1022.7,1031.6,1206.8999999999999,967.6,840.42,1514.83,1777.7899999999997,1327.04,1781.63,1949.5100000000002,1963.72,1691.3,1507.5,1795.1,1333.8
NAYARIT,1011.349537551017,680.3163809036193,1051.366643764564,1000.4983936517239,789.091023975283,1556.2573108995398,996.2466450227098,1105.2948743024335,1324.4241883520224,1231.4,1091.6999999999998,972.1,1213.6,1412.5771542568457,1361.5473279220782,1149.4130681818183,1025.4,1044.0,1018.9,1435.106952205664,1215.5,1002.0,1054.972526590305,1550.6,1281.1999999999998,1649.8,1129.2,1060.11,1209.46,1293.08,1442.95,1224.35,1228.27,1356.3799999999999,1225.3,1140.5,1393.1,1233.3
NUEVO LEÓN,519.8646680694784,669.5788313206663,701.9980188518368,777.5310845851741,464.81945577135514,800.0306782003638,675.9968254306069,702.5120505957287,674.475869137136,560.0,580.9000000000001,413.29999999999995,547.6,421.6516640704207,451.4007214097703,453.06076264097806,590.1,703.9,764.3000000000001,830.2132872629396,919.2,614.3,698.5497669230716,824.1000000000001,483.09999999999997,1231.2,370.8,562.4000000000001,756.6,683.35,682.11,612.2099999999999,569.98,585.19,499.2,525.5,497.7,400.7
OAXACA,1386.4691416581616,1262.1958855082391,992.0107069562606,1642.1321663980846,1392.2915869061276,1364.3753911958497,1034.5935301094948,748.5315426379223,1697.448415918119,1430.7,1922.5,1323.0606601609718,1286.7,1821.123609305567,1961.0122592190078,1677.1210814800122,1737.6,1496.3999999999999,1466.6,1340.6835880632227,1618.3,1270.2,1155.2271170477168,1710.3000000000002,1267.7000000000003,1940.1,1388.5999999999997,1360.04,1237.64,1185.52,1002.4000000000001,993.22,1440.8299999999997,1217.1399999999996,1089.4,1125.6,1236.8,1194.3
PUEBLA,1080.8602225557788,1055.5307295813489,1093.1402905179334,1219.4344846701936,1023.6979916591523,1189.9280211524408,1347.6789152938784,1071.8021385708096,1522.4649754813283,1302.3,2134.9999999999995,1616.4000000000003,1423.2,1894.7872659543132,2138.6883322465287,1983.1741035990854,1439.9999999999998,1280.7,1595.9999999999998,1302.3264329224507,1253.9,1221.7999999999997,1410.1207062914964,1395.9000000000003,1236.2999999999997,1365.1000000000001,1280.0,1390.5000000000002,1390.15,1303.4299999999996,1185.06,1195.8300000000002,1402.29,1247.6499999999999,1040.8,1104.4,1252.5,939.4
QUERÉTARO,578.5015734988662,531.5244428235053,488.70193711732554,615.5978652623136,476.3516831455913,604.213637273822,791.8540908613484,959.7701394061236,661.3950501394655,403.9,567.8,367.3,496.67618829015953,504.812117468429,251.21992568542572,372.66237708873143,595.0,541.1000000000001,803.3,698.5402778518713,435.0,590.2,639.2147418125045,641.6999999999999,490.00000000000006,717.0999999999999,372.3,589.88,780.3399999999999,773.1100000000001,756.6099999999999,749.83,592.6899999999998,554.1399999999999,411.3,407.0,648.3,374.8
QUINTANA ROO,1344.2342330737433,1089.9846805663994,1296.3610379746851,943.8424832269217,1366.3202270426993,1235.2068040991862,1058.602626421815,1344.2389253739811,1602.9522349028346,1219.8999999999999,1514.4,1132.1,1265.4,1749.1826334862997,1446.46,1446.430195311195,1550.2,1537.6999999999998,1552.6000000000001,1087.2168474838834,1456.5000000000002,1131.9,1093.269915482432,1209.9,1100.8,1503.8000000000002,1476.3,1338.0800000000002,1898.4599999999998,1358.2900000000002,1495.54,1109.3100000000004,1406.8,1306.09,1036.1,1870.7,1303.7,1292.3
SAN LUIS POTOSÍ,966.0373501631252,800.4757994945492,904.5542332146542,1041.434324329421,836.5161544601319,1057.844652039995,848.0388190128018,677.2822829753228,1185.2172593977507,851.5,789.5999999999999,782.8,764.3,826.0182114893838,632.4858420667392,645.6958071029525,704.7,793.2,875.9,810.740524103243,808.4000000000001,720.0,1222.6546069779658,1375.3,951.0000000000001,1360.0,922.3,974.4500000000002,875.5099999999999,808.2700000000001,794.07,685.0800000000002,617.65,635.3599999999999,480.8,446.3,615.0,430.4
SINALOA,792.5393585454823,646.2987229679435,519.8479073386289,613.8073230295147,628.9887333205337,1167.2689386310162,901.8174950891648,766.9184499618227,751.6122654779803,744.9000000000001,490.8,675.9,670.6,614.7898554770902,554.7081779555396,691.9000000000001,528.6,489.3,530.9,872.1382978249745,535.6,731.8,638.6417569863622,737.9000000000001,662.6,596.4,595.3,697.197,846.6800000000001,876.0500000000002,1048.5600000000002,730.4099999999999,698.78,1001.31,928.2,653.4,952.9,855.9
SONORA,391.14127948917326,448.9033653941324,321.59983608947016,495.3351710794413,430.55147319374834,682.5224682422711,411.4425827382588,450.17052285685645,564.6746084569885,513.0,327.09999999999997,326.99999999999994,395.59999999999997,346.614004218438,265.33234038475683,352.32619464658904,343.0,228.3,309.90000000000003,573.7260263690678,298.7,358.90000000000003,444.5137807513968,457.8,444.9,452.99999999999994,360.09999999999997,382.1,446.73,480.51000000000005,643.48,424.37,450.60000000000014,565.8900000000001,648.7,343.0,502.7,558.1
